ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
2854,2016-01-20,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Inversores de Familia Ojeda y Rodríguez,Grupos y/u organizaciones de empresarios y empresarias,NA,Exigir devolución de dinero invertido.,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En favor de leyes, reglamentos, planes y/o decretos",LAFISE Valores,Empresas privadas,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Ojeda y familia, inversionistas en LAFISE VALORES, protestaron frente a las instalaciones del grupo financiero regional, ubicadas en Managua. Un grupo de manifestantes, con pancartas, responsabilizó a Lafise de irregularidades en los acuerdos de Inversión y exigió la devolución del dinero.",La Prensa: http://www.laprensa.com.ni/2016/01/22/nacionales/1974473-reclaman-fondos-a-grupo-lafise (2016-01-20)
2855,2016-01-20,Región del Pacífico,Departamento de Managua,Local,Reunión o Asamblea,NA,Trabajadores de la Cruz Roja,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Oponerse al cambio de adminsitración de los Bancos de Sangre.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,Ministerio de Salud (MINSA),Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,Los trabajadores de la Cruz Roja Nicaragüense afiliados al Sindicato Nacional Rafael Peralta se opusieron al traspaso de los diferentes bancos de sangre del país al Ministerio de Salud (MINSA) durante una asamblea general realizada en la sede central de la institución. Los trabajadores manifestaron su preocupación sobre su estabilidad laboral ante el posible cambio de administración.,La Prensa: http://www.laprensa.com.ni/2016/01/20/nacionales/1972362-trabajadores-la-cruz-roja-no-quieren-pasar-la-planilla-del-minsa (2016-01-20)
2856,2016-01-20,Región del Pacífico,Departamento de Managua,Nacional,Mitin o concentración,NA,Coalición Nacional por la Democracia,Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Exigir el voto de  forma transparente en los próximos comicios electorales,Fiscalización de la función pública y rendición de cuentas,Lucha por procesos electorales,Consejo Supremo Electoral (CSE),Poder Electoral,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"La Coalición Nacional por la Democracia realizó la protesta número treinta y nueve por demanda de elecciones justas y transparentes. Encabezada por algunas personalidades políticas, se declaró que las protestas continuarán hasta que se obtengan garantías electorales, para que la población pueda ejercer su voto de forma transparente en las elecciones de noviembre.",La Prensa: http://www.laprensa.com.ni/2016/01/20/politica/1972549-edicion-numero-39-los-miercoles-protesatas-se-realizo-pacificamente (2016-01-20)
2857,2016-01-20,Región del Pacífico,Departamento de Managua,Local,Paro,NA,Trabajadores de la Construcción,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Exigir el pago del catorcenal,Defensa del trabajo y las condiciones laborales,Pago de prestaciones,No registrado,Empresas privadas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Diez obreros de la construcción que trabajan en puente de Praderas El Doral, en Managua, paralizaron sus labores porque no les pagaron el catorcenal, que debió haber sido entregado con anterioridad. Los ingenieros de la obra desatendieron el paro aduciendo que es responsabilidad de los subcontratistas.",Hoy: http://www.hoy.com.ni/2016/01/21/obreros-solicitan-les-paguen-trabajo/ (2016-01-20)
2858,2016-01-21,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Grupo de vecinos y Famiiares de Yelka Ramírez,Grupos y/u organizaciones de vecinos y vecinas,NA,Reclamar justicia y cumplimiento de promesas ante múltiple crimen.,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Policía Nacional (PN),Jerarcas de instituciones públicas,No diálogo,Participación conjunta,Particular,Presencia policial,"Yelka Ramírez y grupo de familiares, vecinos y algunos representantes de organizaciones protestaron frente al Complejo Plaza El Sol: Nuevamente a ella y su familia les cerraron las puertas para atenderles y aclarar aspectos tras seis meses del homicidio múltiple de su familia a manos de agentes policiales. En esta segunda concentración, hubo presencia policial.",La Prensa: http://www.laprensa.com.ni/2016/01/22/nacionales/1973205-yelka-airada-reclama-abranme-la-puerta-en-plaza-el-sol (2016-01-21)
2859,2016-01-22,Región del Pacífico,Departamento de Managua,Nacional,Reunión con autoridades,NA,Central Sandinista de Trabajadores (CST),Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector privado,Aumentar Salario Mínimo,Defensa del trabajo y las condiciones laborales,Aumento salarial,Ministerio del Trabajo (MITRAB),Ministerios,Acuerdo tras negociación,Apoyo solidario,General,No registrado o no existencia,"Luego de quince días de negociación, las autoridades del Gobierno, empresarios del COSEP y representantes sindicales reunidos acordaron un incremento del salario mínimo del nueve por ciento para los trabajadores de ocho sectores de la economía y del ocho por ciento para las micro, pequeñas y medianas empresas.",Hoy: http://www.hoy.com.ni/2016/01/22/acuerdan-incremento-en-el-salario-minimo/ (2016-01-22)
2860,2016-01-22,Región del Pacífico,Departamento de Managua,Nacional,Declaración pública,Pronunciamiento,Organización de Defensa del Consumidor,Grupos y/u organizaciones de usuarios y usuarias,NA,Participar en las Negociaciones de la Reducción de la tarifa energética.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de electricidad y telecomunicaciones",Gobierno Central,Gobierno en general,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"La Organización de Defensa del Consumidor (ODC) solicitó en una declaración pública que las reducciones en la tarifa eléctrica no sean discutidas entre el sector privado y el Gobierno sin la presencia de las organizaciones que representan a los consumidores. De no involucrárseles, no avalarían cualquier negociación, y más aún si no corresponden a los precios del petróleo.",La Prensa: http://www.laprensa.com.ni/2016/01/22/nacionales/1973425-organizacion-de-consumidores-inconforme-con-reduccion-tarifaria (2016-01-22)
2861,2016-01-23,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Comerciantes del Mercado Oriental,Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Exigir la libertad para el comerciante Cristian Cárdenas,Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Policía Nacional (PN),Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Un grupo de comerciantes del Mercado Oriental demandó frente a Plaza El Sol la libertad de su colega Cristian Cárdenas, quien fue aprehendido bajo circunstancias no claras. Los comerciantes y la familia adujeron que se le quiere vincular a un delito de robo. Exigieron que se le ponga en libertad de forma inmediata.",La Prensa: http://www.laprensa.com.ni/2016/01/23/nacionales/1973934-reclaman-libertad-comerciante-frente-plaza-sol (2016-01-23)
2862,2016-01-23,Región del Pacífico,Departamento de Granada,Local,Declaración pública,Convocatoria,Cooperativa de Taxis La Gran Sultana y Carlos Nuñez,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector informal o cuenta propia,Denunciar la presencia de Taxis piratas en la Ciudad.,Intervención del gobierno,Cumplimiento de acuerdos,Alcaldía de Granada y MTI,Municipalidad en general,No diálogo,No registrada o no existencia de alianzas,Particular,Amenaza,"Las cooperativas de taxi La Gran Sultana y Carlos Núñez, de la ciudad de Granada, convocaron a una protesta frente a la Municipalidad de Granada, en contra de los taxistas que operan de forma ilegal, alegando que no pagan impuestos y operan sin control. Luego, la convocatoria fue suspendida ante la presión de los dirigentes del gremio y autoridades locales. Antes de la hora estipulada, inspectores del Ministerio de Transporte e Infraestructura (MTI) se apostaron en las afueras de la comuna ante la presencia de los concesionarios que habían anunciado la protesta.",La Prensa: http://www.laprensa.com.ni/2016/01/23/departamentales/1974204-1974204 (2016-01-23)
2863,2016-01-25,Región del Pacífico,Departamento de Managua,Nacional,Reunión o Asamblea,NA,Federación de Asociaciones Ganaderas de Nicaragua (Faganic),Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Negociar precio de kilo de carne,Defensa de la producción agropecuaria,Defensa de productos y productores nacionales,Cámara Nicaragüense de Plantas Exportadoras de Carne Bovina (Canicarne),Empresas privadas,Acuerdo tras negociación,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Los ganaderos en Nicaragua organizados en Faganic afirmaron en una Asamblea que no es rentable la venta de animales a los mataderos si el precio no mejoraba. Álvaro Vargas, vicepresidente de la Federación, explicó que mientras no se negocie un precio por el kilo en canal caliente, favorable para ambas partes, entonces no entregarían ni una sola res.",La Prensa: http://www.laprensa.com.ni/2016/01/25/economia/1975258-ganaderos-en-nicaragua-no-entregaran-reses-hasta-negociar-con-la-industria (2016-01-25)
2864,2016-01-25,Región Atlántica,Región Autónoma Atlántico Norte,Local,Actos sobre la propiedad,NA,Estudiantes del Instituto Nacional Once de Septiembre,Grupos y/u organizaciones de estudiantes y madres y padres,De educación secundaria,Restituir en su cargo al Director del Centro Educativo.,Defensa de la educación,"Destitución, sustitución o nombramiento de funcionarios de la educación",Ministerio de Educación (MINED),Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Estudiantes del Instituto Nacional Once de Septiembre, del municipio de Waspam en la Región Autónoma de la Costa Caribe Norte de Nicaragua, incendiaron las instalaciones del centro educativo en protesta por la destitución del director y el nombramiento de uno nuevo.",La Prensa: http://www.laprensa.com.ni/2016/01/26/departamentales/1975721-queman-instituto-waspam (2016-01-25)
2865,2016-01-27,Región del Pacífico,Departamento de Managua,Local,Declaración pública,Pronunciamiento,Federación de Asociaciones de Personas con Discapacidad,Grupos y/u organizaciones de derechos humanos,De personas con discapacidad,Solicitar reparaciones respectivas de manjoles y tragantes.,Defensa y/o ampliación de derechos,Defensa y/o ampliación de los derechos de las personas con algún tipo de discapacidad,Alcaldía de Managua y Población General,Municipalidad en general,Arreglo inmediato,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El Representante de la Federación de Asociaciones de Personas con Discapacidad, David López, declaró públicamente que enfrentan serios problemas al circular por las vías de Managua, con accidentes particulares en los manjoles. Demandaron que la municipalidad haga las reparaciones respectivas, pero también pidieron a la población que tenga conciencia del problema ya que algunos chatarreros se han robado las tapas de hierro y las rejillas de los alcantarillados.",El Nuevo Diario: http://www.elnuevodiario.com.ni/nacionales/managua/383333-tragantes-manjoles-trampas-mortales-no-videntes/ (2016-01-27)
2866,2016-01-28,Región del Pacífico,Departamento de Managua,Local,Bloqueo,NA,Pobladores de Comarca Sábana Grande,Grupos y/u organizaciones de vivienda,NA,Exigir Diálogo e indemnización justa por construcción de vía,Intervención del gobierno,Solicitud de vivienda,Alcaldía de Managua (ALMA),Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Familias que habitan en las 15 viviendas que serían afectadas por la ampliación de una calle en Sabana Grande, en el Distrito Siete, hicieron un bloqueo de las vías para demandar que las máximas autoridades de la Alcaldía de Managua llegasen a dialogar con ellos y les presenten una propuesta justa de indemnización por los terrenos. Ellos adujeron que no quieren acceder a la propuesta de traslado a otro barrio Capitalino, y la única vía será la indemnización a precio de Mercado por sus propiedades.",La Prensa: http://www.laprensa.com.ni/2016/01/28/nacionales/1976450-ampliacion-de-calle-en-sabana-grande-afectara-a-quince-familias (2016-01-28)
2867,2016-01-28,Región del Pacífico,Departamento de Managua,Nacional,Marcha,NA,"Consejo en Defensa de la Tierra, Lago y Soberanía",Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Derogar la Ley 840 (Canal),"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Gobierno Central,Gobierno en general,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Pobladores de las comunidades Argentina I y II, El Consuelo y La Culebra de San Carlos, Río San Juan, y campesinos de El Tule, San Miguelito, organizaron una marcha por la derogación de la Ley del Gran Canal (ley 840). También recogieron firmas para dicha derogación.",La Prensa: http://www.laprensa.com.ni/2016/01/29/nacionales/1977095-sigue-recolecta-firmas-iniciativa-anti-canal (2016-01-28)
2868,2016-01-29,Región del Pacífico,Departamento de Managua,Local,Declaración pública,Pronunciamiento,Cámara de Contratistas de Managua,Grupos y/u organizaciones de empresarios y empresarias,NA,Exigir Mayor equidad en la distribución de licitaciones para la Construcción,Fiscalización de la función pública y rendición de cuentas,Solicitud de negociación,Gobierno Central,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"La Cámara de contratistas de Managua (CCM), pidió más equidad en la distribución de las asignaciones en las licitaciones de la construcción, demandando que sólo los grandes contratistas se ven beneficiados ante el auge del sector construcción en el país. La CCM demandó reglas del juego claras a la administración gubernamental y convoca a próximas reuniones para plantear sus posturas.",La Prensa: http://www.laprensa.com.ni/2016/01/29/nacionales/1977157-pequenos-de-la-construccion-no-sentimos-beneficios (2016-01-29)
2869,2016-01-29,Región del Pacífico,Departamento de Chinandega,Local,Reunión o Asamblea,NA,Cooperativas de Trabajadores de Camaronicultura,Grupos y/u organizaciones de campesinos y campesinas e indígenas,NA,Reclamar asistencia financiera para producir camarones.,Defensa de la producción agropecuaria,Apoyo estatal a la producción,Gobierno Central,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En una Asamblea, representantes de veinte cooperativas de camaronicultores artesanales resintieron la falta de apoyo económico en el momento crucial para la ""siembra"". Adujeron que la falta de producción podría degenerar en levantamientos en todo el municipio, pues esta es una de las principales actividades económicas.",La Prensa: http://www.laprensa.com.ni/2016/01/30/departamentales/1977841-1977841 (2016-01-29)
2870,2016-01-29,Región del Pacífico,Departamento de Managua,Nacional,Reunión o Asamblea,NA,Federación de Asociaciones Ganaderas de Nicaragua (Faganic),Grupos y/u organizaciones de campesinos y campesinas e indígenas,Campesinos y campesinas,Negociar precio de kilo de carne,Defensa de la producción agropecuaria,Defensa de productos y productores nacionales,Cámara Nicaragüense de Plantas Exportadoras de Carne Bovina (Canicarne),Empresas privadas,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,Continuó este día la suspensión de entrega de reses por parte de los ganaderos afiliados a Faganic a las industrias y mataderos que cobran el precio del kilo de carne a menor valor. La suspensión sucedió en medio de las negociaciones con las industrias.,La Prensa: http://www.laprensa.com.ni/2016/01/29/economia/1977097-1977097 (2016-01-29)
2871,2016-02-01,Región Atlántica,Región Autónoma Atlántico Norte,Local,Mitin o concentración,NA,Agrupación indigena de la Costa Caribe,Grupos y/u organizaciones de campesinos y campesinas e indígenas,Indígenas,Exigir la intervención del Gobierno en los conflictos por la posesión de territorios en esta zona.,Defensa de la producción agropecuaria,Defensa y/o acceso a la tierra para la producción campesina,Gobierno Central,Gobierno en general,No registrado,Participación conjunta,Particular,No registrado o no existencia,"La Agrupación indígena de la Costa Caribe se concentró en el parque municipal de Bilwi para exigir la intervención del Gobierno Central frente a la invasión de colonos en sus territorios, lo cual ha desembocado en actos de violencia.",La Prensa: http://www.laprensa.com.ni/2016/02/01/nacionales/1978539-indigenas-del-caribe-exigen-proteccion-del-gobierno (2016-02-01)
2872,2016-02-01,Región del Pacífico,Departamento de Chinandega,Local,Mitin o concentración,NA,Agrupación de pescadores,Grupos y/u organizaciones de campesinos y campesinas e indígenas,NA,Negociar nuevas medidas impuestas por el Instituto Nicaraguense Pesca y acuicultura,"En favor o en contra de leyes, reglamentos, planes y/o decretos","En contra de leyes, reglamentos, planes y/o decretos",Instituto Nicaragüense de Pesca y Acuicultura,Instituciones descentralizadas y/o autónomas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Grupo de pescadores del municipio de Corinto, departamento de Chinandega, protestaron por las nuevas medidas en torno a equipos que deben portar para poder zarpar en sus embarcaciones. Estos solicitaron que el Instituto Nicaragüense de Pesca y Acuicultura se los provea.",El Nuevo Diario: http://www.elnuevodiario.com.ni/nacionales/383813-pescadores-artesanales-protestan-corinto/ (2016-02-01)
2873,2016-02-02,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Movimiento Democrático Nicaragüense (MDN),Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Exigir la renuncia del Magistrado presidente del Consejo Supremo Electoral (CSE): Roberto Rivas,Fiscalización de la función pública y rendición de cuentas,Lucha por procesos electorales,Consejo Supremo Electoral (CSE),Poder Electoral,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"El Movimiento Democrático Nicaragüense (MDN) inició una campaña exigiendo la renuncia del Magistrado presidente del Consejo Supremo Electoral (CSE), Roberto Rivas. La campaña contempló protestar frente a la sede del CSE, colocar carteles, pancartas y distribuir papeletas en las paradas de buses.",La Prensa: http://www.laprensa.com.ni/2016/02/01/politica/1978426-campana-renuncie-roberto-rivas-al-cse (2016-02-02)
2874,2016-02-02,Región del Pacífico,Departamento de Managua,Local,Bloqueo,NA,Pobladores de Comarca Sábana Grande,Grupos y/u organizaciones de vivienda,NA,Negociar una indemnización justa por la afectación de las viviendas de los habitantes de Sabana Grande,Intervención del gobierno,Solicitud de vivienda,Alcaldía de Managua (ALMA),Municipalidad en general,Omisión,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Pobladores de Sabana Grande realizaron un bloqueo en un vía principal como forma de protesta frente al desinterés de la Alcaldía de Managua (ALMA) para negociar una indemnización justa por la afectación de sus viviendas tras la ejecución de un proyecto vial. A cambio de ceder sus propiedades, la alcaldía les propuso una vivienda en Ciudad Belén.",La Prensa: http://www.laprensa.com.ni/2016/02/02/nacionales/1979217-inconformidad-persiste-sabana-grande (2016-02-02)
2875,2016-02-03,Región del Pacífico,Departamento de Managua,Local,Mitin o concentración,NA,Coalición Nacional por la Democracia,Grupos y/u organizaciones de ciudadanos y ciudadanas,NA,Asegurar transparencia electoral,Fiscalización de la función pública y rendición de cuentas,Lucha por procesos electorales,Consejo Supremo Electoral (CSE),Poder Electoral,No registrado,Participación conjunta,General,No registrado o no existencia,"La Coalición Nacional por la Democracia realizó la protesta numero cuarenta y uno en la rotonda Cristo Rey, con el objetivo de presionar para que se respete la Ley electoral, se permitan observadores nacionales e internacionales en la próximas elecciones generales, se cambie a los magistrados del CSE por su falta de legitimidad y se entregue, sin distinción alguna, cedulas de identidad a los/as ciudadanos/as para su ejercicio del voto.",La Prensa: http://www.laprensa.com.ni/2016/02/03/politica/1980153-miercoles-de-protesta-en (2016-02-03)
